Cluster           [Fe/H]  e_[Fe/H]
NGC_2547          -0.014  0.053
NGC_2548           0.032  0.061
NGC_2567          -0.062  0.042
NGC_2571           0.058  0.106
NGC_2580          -0.131  0.108
NGC_2587          -0.122  0.111
NGC_2588          -0.142  0.074
NGC_2627          -0.165  0.058
NGC_2632           0.196  0.039
NGC_2635          -0.218  0.117
NGC_2645           0.126  0.086
NGC_2658          -0.112  0.067
NGC_2659          -0.080  0.142
NGC_2660           0.010  0.030
NGC_2669           0.127  0.050
NGC_2670           0.304  0.103
NGC_2671           0.219  0.131
NGC_2682           0.072  0.052
NGC_2818          -0.099  0.092
NGC_2849          -0.177  0.084
NGC_2866           0.028  0.096
NGC_2910           0.146  0.097
NGC_2925           0.042  0.091
NGC_2972           0.051  0.125
NGC_3033           0.015  0.167
NGC_3105          -0.097  0.159
NGC_3114           0.096  0.039
NGC_3228           0.143  0.084
NGC_3255           0.007  0.104
NGC_3293           0.028  0.044
NGC_3324           0.294  0.126
NGC_3330           0.047  0.134
NGC_3496           0.130  0.071
NGC_3532           0.050  0.025
NGC_3572           0.071  0.068
NGC_3590           0.058  0.069
NGC_366           -0.030  0.172
NGC_3680          -0.041  0.036
NGC_3766           0.051  0.081
NGC_381            0.105  0.122
NGC_3960           0.003  0.119
NGC_4052           0.093  0.078
NGC_4103           0.128  0.073
NGC_433            0.048  0.115
NGC_4337           0.105  0.087
NGC_4349          -0.034  0.071
NGC_436           -0.122  0.110
NGC_4439           0.019  0.119
NGC_4463           0.158  0.104
NGC_457           -0.034  0.153
NGC_4609           0.023  0.090
NGC_4755           0.060  0.076
NGC_4815           0.060  0.046
NGC_4852           0.194  0.075
NGC_5138           0.091  0.105
NGC_5168           0.080  0.101
NGC_5269           0.153  0.115
NGC_5281           0.033  0.105
NGC_5288           0.318  0.160
NGC_5316          -0.022  0.056
NGC_5381           0.154  0.067
NGC_5460          -0.001  0.059
NGC_559           -0.025  0.076
NGC_5593           0.178  0.090
NGC_5606           0.143  0.098
NGC_5617           0.064  0.071
NGC_5662          -0.005  0.066
NGC_5715           0.287  0.071
NGC_5749           0.063  0.079
NGC_5764          -0.095  0.151
NGC_581           -0.020  0.098
NGC_5822          -0.015  0.106
NGC_5823           0.355  0.039
NGC_5925           0.137  0.091
NGC_5999           0.079  0.111
NGC_6005          -0.101  0.103
NGC_6025           0.147  0.054
NGC_6031           0.108  0.129
NGC_6067           0.089  0.042
NGC_6087           0.112  0.093
NGC_609           -0.077  0.103
NGC_6124           0.154  0.109
NGC_6134           0.063  0.058
NGC_6152           0.131  0.098
NGC_6178           0.068  0.157
NGC_6192           0.225  0.172
NGC_6193           0.139  0.130
NGC_6200           0.166  0.122
NGC_6204           0.096  0.055
NGC_6208          -0.089  0.077
NGC_6216           0.144  0.061
NGC_6231           0.110  0.072
NGC_6242           0.034  0.081
NGC_6249           0.115  0.132
NGC_6250          -0.008  0.102
NGC_6253           0.301  0.051
NGC_6259           0.149  0.089
NGC_6268          -0.153  0.078
NGC_6281           0.042  0.058
NGC_6318           0.016  0.144
NGC_6322           0.008  0.161
NGC_637            0.096  0.072
NGC_6383           0.004  0.123
NGC_6396           0.288  0.080
NGC_6400           0.147  0.077
NGC_6404           0.285  0.137
NGC_6405           0.142  0.037
NGC_6416           0.067  0.067
NGC_6425          -0.030  0.070
NGC_6444           0.177  0.119
NGC_6451           0.457  0.195
NGC_6469           0.304  0.107
NGC_6475           0.019  0.013
NGC_6494           0.095  0.055
NGC_6520           0.027  0.139
NGC_6530           0.373  0.137
NGC_6531           0.090  0.015
NGC_654           -0.100  0.081
NGC_6561           0.328  0.163
NGC_6568           0.148  0.100
NGC_6583           0.293  0.038
NGC_659           -0.046  0.091
NGC_6603           0.153  0.061
NGC_6604           0.104  0.163
NGC_6611           0.066  0.138
NGC_6613           0.133  0.065
NGC_663           -0.125  0.081
NGC_6631           0.326  0.256
NGC_6633          -0.094  0.064
NGC_6645           0.097  0.074
NGC_6649           0.440  0.155
NGC_6664          -0.138  0.273
NGC_6694           0.155  0.088
NGC_6704           0.273  0.108
NGC_6705           0.043  0.063
NGC_6709           0.143  0.081
NGC_6716           0.097  0.059
NGC_6728           0.000  0.045
NGC_6735          -0.067  0.256
NGC_6755           0.126  0.119
NGC_6756           0.324  0.159
NGC_6791           0.399  0.024
NGC_6793           0.234  0.076
NGC_6800           0.387  0.196
NGC_6802          -0.100  0.046
NGC_6811           0.032  0.015
NGC_6819           0.093  0.006
NGC_6823           0.127  0.244
NGC_6827           0.253  0.077
NGC_6830           0.280  0.098
NGC_6834           0.024  0.099
NGC_6866           0.047  0.018
NGC_6871           0.104  0.125
NGC_6885           0.055  0.120
NGC_6910           0.035  0.097
NGC_6913           0.206  0.261
NGC_6939           0.462  0.100
NGC_6940          -0.032  0.071
NGC_6991          -0.077  0.066
NGC_6997           0.172  0.140
NGC_7024           0.052  0.107
NGC_7039           0.091  0.100
NGC_7044          -0.189  0.172
NGC_7058           0.116  0.040
NGC_7062           0.045  0.012
NGC_7063          -0.009  0.063
NGC_7067           0.246  0.242
NGC_7082          -0.015  0.093
NGC_7086           0.174  0.188
NGC_7092          -0.047  0.072
NGC_7128          -0.032  0.077
NGC_7129           0.128  0.196
NGC_7142           0.080  0.023
NGC_7160           0.116  0.161
NGC_7209           0.146  0.097
NGC_7226          -0.186  0.115
NGC_7235           0.018  0.115
NGC_7243           0.011  0.079
NGC_7245          -0.006  0.014
NGC_7261           0.010  0.096
NGC_7281           0.064  0.118
NGC_7296          -0.002  0.126
NGC_7380          -0.062  0.135
NGC_7419          -0.162  0.046
NGC_7423          -0.061  0.110
NGC_743            0.039  0.092
NGC_744            0.019  0.076
NGC_7510          -0.206  0.120
NGC_752           -0.037  0.049
NGC_7654           0.075  0.076
NGC_7762          -0.056  0.103
NGC_7788           0.083  0.171
NGC_7789           0.026  0.028
NGC_7790          -0.100  0.069
NGC_869           -0.100  0.076
NGC_884           -0.079  0.092
NGC_886            0.113  0.240
NGC_957           -0.046  0.035
Negueruela_1      -0.224  0.262
Patchick_3        -0.162  0.179
Patchick_90       -0.129  0.150
Pismis_1          -0.194  0.076
Pismis_11          0.051  0.190
Pismis_12         -0.146  0.088
Pismis_15          0.456  0.051
Pismis_18         -0.033  0.071
Pismis_20          0.155  0.161
Pismis_27          0.101  0.142
Pismis_3          -0.076  0.080
Pismis_4          -0.089  0.079
Pismis_5          -0.034  0.133
Pismis_7          -0.225  0.119
Pismis_8          -0.034  0.096
Pismis_Moreno_1   -0.012  0.134
Platais_10        -0.053  0.072
Platais_3         -0.007  0.041
Platais_8         -0.050  0.062
Platais_9         -0.025  0.047
Pozzo_1           -0.069  0.064
RSG_1              0.063  0.038
RSG_5              0.012  0.076
RSG_7              0.102  0.017
RSG_8             -0.023  0.132
Riddle_4          -0.109  0.148
Roslund_2          0.185  0.125
Roslund_3          0.197  0.095
Roslund_5          0.107  0.051
Roslund_6          0.078  0.058
Roslund_7          0.171  0.109
Ruprecht_1        -0.077  0.094
Ruprecht_10       -0.026  0.099
Ruprecht_100       0.062  0.146
Ruprecht_101       0.024  0.116
Ruprecht_102       0.163  0.112
Ruprecht_105       0.200  0.236
Ruprecht_107       0.026  0.109
Ruprecht_108       0.086  0.106
Ruprecht_111      -0.064  0.082
Ruprecht_112       0.020  0.052
Ruprecht_117       0.497  0.105
Ruprecht_118       0.386  0.126
Ruprecht_119       0.183  0.126
Ruprecht_120       0.266  0.165
Ruprecht_123       0.188  0.166
Ruprecht_126       0.441  0.123
Ruprecht_127       0.233  0.148
Ruprecht_128       0.144  0.107
Ruprecht_130       0.201  0.109
Ruprecht_134       0.106  0.128
Ruprecht_135       0.160  0.077
Ruprecht_138       0.203  0.145
Ruprecht_143       0.188  0.143
Ruprecht_144       0.233  0.110
Ruprecht_145       0.037  0.066
Ruprecht_147       0.089  0.053
Ruprecht_148       0.188  0.221
Ruprecht_151       0.048  0.168
Ruprecht_16       -0.090  0.102
Ruprecht_161       0.069  0.064
Ruprecht_164       0.099  0.090
Ruprecht_167       0.192  0.116
Ruprecht_170       0.085  0.067
Ruprecht_171       0.048  0.057
Ruprecht_172      -0.115  0.112
Ruprecht_174      -0.031  0.123
Ruprecht_176       0.179  0.105
Ruprecht_18        0.123  0.155
Ruprecht_19       -0.088  0.049
Ruprecht_23        0.245  0.109
Ruprecht_25       -0.241  0.163
Ruprecht_26       -0.100  0.031
Ruprecht_27       -0.007  0.068
Ruprecht_28       -0.223  0.151
Ruprecht_29       -0.027  0.115
Ruprecht_33       -0.078  0.118
Ruprecht_34       -0.100  0.096
Ruprecht_35       -0.136  0.124
Ruprecht_36       -0.130  0.099
Ruprecht_37       -0.136  0.057
Ruprecht_4        -0.100  0.084
Ruprecht_41       -0.109  0.107
Ruprecht_42       -0.262  0.130
Ruprecht_44       -0.115  0.090
Ruprecht_45       -0.307  0.131
Ruprecht_47       -0.123  0.101
Ruprecht_48       -0.093  0.099
Ruprecht_50       -0.034  0.142
Ruprecht_54       -0.163  0.134
Ruprecht_55       -0.226  0.037
Ruprecht_58       -0.123  0.105
Ruprecht_60       -0.125  0.126
Ruprecht_61       -0.132  0.102
Ruprecht_63       -0.167  0.071
Ruprecht_65        0.089  0.116
Ruprecht_66       -0.100  0.109
Ruprecht_67        0.008  0.082
Ruprecht_68        0.130  0.059
Ruprecht_71        0.172  0.171
Ruprecht_75       -0.165  0.114
Ruprecht_76        0.223  0.131
Ruprecht_79        0.107  0.179
Ruprecht_8        -0.086  0.069
Ruprecht_82        0.067  0.110
Ruprecht_83        0.151  0.165
Ruprecht_84        0.151  0.136
Ruprecht_85        0.010  0.170
Ruprecht_91        0.061  0.088
Ruprecht_93        0.028  0.083
Ruprecht_94        0.115  0.164
Ruprecht_96        0.037  0.060
Ruprecht_97        0.011  0.066
Ruprecht_98       -0.049  0.096
SAI_108            0.127  0.307
SAI_109           -0.173  0.149
SAI_116            0.285  0.147
SAI_118            0.052  0.110
SAI_132            0.062  0.099
SAI_14            -0.012  0.063
SAI_149            0.143  0.066
SAI_17            -0.365  0.270
SAI_24             0.157  0.126
SAI_25             0.270  0.252
SAI_4             -0.071  0.094
SAI_43            -0.198  0.084
SAI_47            -0.198  0.120
SAI_81            -0.066  0.177
SAI_86            -0.113  0.131
SAI_91            -0.100  0.088
SAI_94            -0.146  0.115
Sigma_Ori         -0.092  0.051
Skiff_J0058+68.4  -0.214  0.068
Skiff_J0458+43.0  -0.183  0.110
Skiff_J0507+30.8  -0.432  0.211
Skiff_J0614+12.9  -0.193  0.103
Skiff_J0619+18.5  -0.082  0.142
Skiff_J1942+38.6   0.078  0.133
Skiff_J2330+60.2  -0.308  0.133
Stephenson_1       0.055  0.082
Stock_1            0.286  0.062
Stock_10          -0.004  0.056
Stock_12           0.002  0.057
Stock_14           0.116  0.106
Stock_2            0.029  0.055
Stock_20          -0.100  0.117
Stock_21          -0.053  0.157
Stock_23           0.054  0.116
Stock_24           0.000  0.087
Stock_3           -0.100  0.075
Stock_4            0.024  0.125
Stock_5            0.126  0.079
Stock_7            0.327  0.092
Stock_8           -0.071  0.140
Teutsch_1         -0.212  0.209
Teutsch_10        -0.296  0.011
Teutsch_103       -0.029  0.107
Teutsch_12        -0.143  0.014
Teutsch_126        0.097  0.126
Teutsch_127       -0.154  0.146
Teutsch_13        -0.198  0.093
Teutsch_132       -0.160  0.141
Teutsch_143a      -0.015  0.109
Teutsch_144        0.218  0.070
Teutsch_2         -0.106  0.071
Teutsch_22         0.226  0.108
Teutsch_23        -0.088  0.115
Teutsch_30        -0.107  0.134
Teutsch_35         0.078  0.068
Teutsch_38         0.115  0.038
Teutsch_50         0.058  0.202
Teutsch_61        -0.013  0.107
Teutsch_66         0.437  0.149
Teutsch_74        -0.165  0.110
Teutsch_8          0.168  0.100
Teutsch_80         0.228  0.189
Teutsch_84         0.161  0.073
Toepler_1          0.135  0.124
Tombaugh_1        -0.119  0.113
Tombaugh_2        -0.178  0.070
Tombaugh_4        -0.475  0.014
Tombaugh_5         0.189  0.171
Trapezium-FG      -0.146  0.056
Trumpler_1        -0.012  0.117
Trumpler_10        0.043  0.050
Trumpler_12        0.053  0.065
Trumpler_13       -0.024  0.110
Trumpler_14        0.188  0.071
Trumpler_15       -0.124  0.137
Trumpler_16        0.348  0.163
Trumpler_17        0.040  0.121
Trumpler_18        0.155  0.070
Trumpler_19       -0.015  0.111
Trumpler_2         0.140  0.149
Trumpler_20        0.094  0.034
Trumpler_21        0.138  0.097
Trumpler_22        0.275  0.103
Trumpler_23        0.127  0.063
Trumpler_25        0.194  0.048
Trumpler_26        0.249  0.048
Trumpler_28        0.174  0.140
Trumpler_29        0.192  0.111
Trumpler_3        -0.210  0.017
Trumpler_30        0.324  0.076
Trumpler_32       -0.008  0.093
Trumpler_33        0.145  0.100
Trumpler_5        -0.372  0.031
Trumpler_7        -0.100  0.083
Trumpler_9        -0.083  0.053
Turner_5          -0.075  0.043
Turner_9           0.289  0.116
UBC_104            0.295  0.112
UBC_108            0.032  0.237
UBC_118            0.078  0.101
UBC_121            0.024  0.180
UBC_132            0.158  0.147
UBC_133            0.407  0.203
UBC_134            0.118  0.153
UBC_136            0.297  0.185
UBC_148            0.166  0.169
UBC_149            0.096  0.095
UBC_151            0.211  0.056
UBC_152            0.282  0.208
UBC_154           -0.031  0.170
UBC_155            0.047  0.208
UBC_156            0.037  0.159
UBC_157            0.063  0.061
UBC_162            0.161  0.120
UBC_166           -0.013  0.085
UBC_169           -0.100  0.136
UBC_172            0.135  0.097
UBC_175            0.195  0.124
UBC_177            0.252  0.165
UBC_178            0.245  0.107
UBC_179            0.124  0.085
UBC_17a           -0.230  0.190
UBC_182           -0.171  0.103
UBC_188           -0.093  0.084
UBC_191           -0.042  0.084
UBC_192            0.021  0.072
UBC_194           -0.091  0.073
UBC_198           -0.153  0.098
UBC_210           -0.119  0.029
UBC_217           -0.269  0.146
UBC_220           -0.136  0.102
UBC_225           -0.001  0.166
UBC_230            0.060  0.091
UBC_232           -0.068  0.157
UBC_233            0.044  0.070
UBC_237            0.045  0.102
UBC_241           -0.081  0.116
UBC_245            0.117  0.198
UBC_247            0.180  0.095
UBC_248            0.074  0.073
UBC_249            0.053  0.171
UBC_251            0.376  0.177
UBC_252           -0.223  0.095
UBC_253            0.260  0.162
UBC_258            0.197  0.087
UBC_262           -0.093  0.117
UBC_267            0.200  0.124
UBC_270            0.048  0.125
UBC_272            0.189  0.118
UBC_275            0.008  0.119
UBC_276            0.082  0.138
UBC_280            0.172  0.076
UBC_281            0.520  0.201
UBC_290            0.132  0.050
UBC_292            0.172  0.115
UBC_293            0.297  0.059
UBC_296            0.377  0.132
UBC_299            0.121  0.175
UBC_300            0.113  0.095
UBC_302           -0.046  0.110
UBC_303            0.105  0.180
UBC_31             0.425  0.013
UBC_315            0.313  0.119
UBC_316            0.199  0.078
UBC_317            0.285  0.136
UBC_319            0.348  0.133
UBC_322            0.347  0.199
UBC_326            0.179  0.128
UBC_337            0.088  0.198
UBC_338            0.305  0.100
UBC_339            0.123  0.118
UBC_340            0.237  0.248
UBC_341            0.146  0.196
UBC_342            0.254  0.081
UBC_345            0.230  0.209
UBC_347            0.090  0.231
UBC_352            0.140  0.142
UBC_354            0.333  0.181
UBC_356            0.137  0.083
UBC_36            -0.097  0.140
UBC_360            0.114  0.126
UBC_361            0.345  0.103
UBC_364            0.176  0.158
UBC_366            0.154  0.194
UBC_373            0.015  0.061
UBC_376            0.166  0.142
UBC_377            0.173  0.138
UBC_378            0.043  0.094
UBC_379            0.445  0.174
UBC_380            0.430  0.175
UBC_381            0.286  0.217
UBC_382            0.173  0.143
UBC_384            0.157  0.103
UBC_386            0.036  0.082
UBC_387            0.091  0.118
UBC_389            0.101  0.157
UBC_390           -0.039  0.123
UBC_391            0.156  0.237
UBC_393           -0.054  0.108
UBC_395           -0.065  0.055
UBC_396            0.016  0.346
UBC_397           -0.141  0.137
UBC_40            -0.226  0.102
UBC_407           -0.001  0.122
UBC_409           -0.098  0.120
UBC_41            -0.190  0.083
UBC_410            0.272  0.104
UBC_413            0.095  0.226
UBC_415           -0.078  0.158
UBC_417           -0.030  0.228
UBC_422           -0.048  0.170
UBC_423            0.143  0.199
UBC_424           -0.074  0.098
UBC_425           -0.106  0.149
UBC_428           -0.176  0.137
UBC_429           -0.077  0.104
UBC_430            0.144  0.180
UBC_432           -0.091  0.101
UBC_433           -0.351  0.134
UBC_435           -0.043  0.135
UBC_436           -0.110  0.119
UBC_437           -0.100  0.062
UBC_438            0.224  0.205
UBC_439           -0.146  0.025
UBC_442           -0.140  0.168
UBC_443           -0.152  0.115
UBC_445           -0.041  0.062
UBC_448           -0.097  0.083
UBC_449           -0.088  0.076
UBC_450            0.056  0.065
UBC_451            0.205  0.119
UBC_456            0.136  0.117
UBC_458            0.061  0.118
UBC_46            -0.143  0.072
UBC_460            0.026  0.116
UBC_461           -0.012  0.169
UBC_462           -0.100  0.119
UBC_463            0.198  0.203
UBC_466            0.180  0.172
UBC_467           -0.207  0.079
UBC_468           -0.074  0.102
UBC_469           -0.267  0.145
UBC_472           -0.180  0.218
UBC_473           -0.112  0.158
UBC_474           -0.123  0.174
UBC_475            0.076  0.077
UBC_476           -0.063  0.094
UBC_479            0.307  0.260
UBC_482           -0.007  0.173
UBC_483            0.125  0.096
UBC_484            0.054  0.166
UBC_485           -0.006  0.145
UBC_487            0.194  0.208
UBC_488            0.236  0.193
UBC_490            0.126  0.173
UBC_491            0.031  0.161
UBC_492            0.288  0.178
UBC_493            0.018  0.151
UBC_495           -0.084  0.097
UBC_496            0.278  0.080
UBC_499            0.348  0.064
UBC_500            0.127  0.094
UBC_502            0.162  0.230
UBC_503           -0.079  0.101
UBC_504            0.038  0.113
UBC_507           -0.031  0.088
UBC_508            0.145  0.156
UBC_509            0.253  0.118
UBC_51            -0.109  0.081
UBC_510           -0.010  0.092
UBC_513            0.080  0.134
UBC_514            0.072  0.055
UBC_515            0.428  0.141
UBC_516            0.139  0.121
UBC_518            0.233  0.123
UBC_519            0.048  0.110
UBC_52            -0.090  0.115
UBC_520            0.300  0.170
UBC_521            0.228  0.230
UBC_523            0.121  0.110
UBC_524            0.208  0.100
UBC_527            0.350  0.047
UBC_528            0.137  0.300
UBC_531            0.254  0.240
UBC_532            0.178  0.153
UBC_533            0.189  0.054
UBC_534            0.258  0.137
UBC_535            0.360  0.202
UBC_536            0.271  0.209
UBC_540            0.260  0.170
UBC_541            0.451  0.150
UBC_542            0.236  0.256
UBC_545            0.269  0.127
UBC_546            0.474  0.131
UBC_548            0.127  0.151
UBC_549            0.454  0.129
UBC_550            0.356  0.152
UBC_552            0.407  0.263
UBC_556            0.375  0.168
UBC_557            0.203  0.074
UBC_559            0.287  0.171
UBC_560           -0.096  0.234
UBC_561            0.163  0.148
UBC_562            0.027  0.177
UBC_563            0.125  0.121
UBC_57            -0.152  0.149
UBC_571            0.302  0.129
UBC_572           -0.193  0.246
UBC_574            0.199  0.201
UBC_576            0.099  0.220
UBC_578           -0.100  0.114
UBC_580            0.216  0.173
UBC_582           -0.014  0.088
UBC_586           -0.001  0.237
UBC_588            0.132  0.233
UBC_59            -0.234  0.034
UBC_590            0.324  0.282
UBC_591           -0.078  0.107
UBC_594            0.000  0.315
UBC_596           -0.079  0.099
UBC_599           -0.265  0.046
UBC_600            0.147  0.123
UBC_601           -0.074  0.115
UBC_603            0.164  0.109
UBC_606           -0.127  0.133
UBC_607           -0.164  0.144
UBC_608           -0.202  0.106
UBC_609           -0.248  0.083
UBC_610           -0.090  0.223
UBC_612           -0.282  0.229
UBC_613           -0.305  0.211
UBC_614           -0.048  0.227
UBC_615           -0.197  0.093
UBC_616           -0.282  0.098
UBC_617           -0.108  0.147
UBC_618           -0.104  0.280
UBC_619           -0.375  0.154
UBC_620            0.137  0.111
UBC_623           -0.268  0.094
UBC_624           -0.248  0.106
UBC_626           -0.222  0.197
UBC_627           -0.312  0.104
UBC_628           -0.337  0.134
UBC_63            -0.181  0.071
UBC_630            0.040  0.153
UBC_631           -0.166  0.084
UBC_632           -0.254  0.072
UBC_633           -0.100  0.152
UBC_634            0.049  0.090
UBC_636           -0.059  0.089
UBC_637           -0.302  0.104
UBC_638           -0.491  0.188
UBC_641           -0.002  0.166
UBC_642           -0.334  0.150
UBC_643            0.344  0.253
UBC_645           -0.143  0.209
UBC_646            0.045  0.147
UBC_647           -0.172  0.169
UBC_648           -0.280  0.205
UBC_651            0.274  0.210
UBC_652            0.091  0.120
UBC_653            0.130  0.129
UBC_655           -0.034  0.100
UBC_656            0.054  0.162
UBC_657            0.016  0.095
UBC_660            0.222  0.170
UBC_663            0.105  0.105
UBC_664            0.356  0.128
UBC_665            0.183  0.223
UBC_666            0.548  0.248
UBC_668            0.520  0.132
UBC_670            0.431  0.103
UBC_671            0.472  0.070
UBC_68            -0.170  0.046
UBC_73            -0.185  0.038
UBC_76             0.031  0.113
UBC_77            -0.108  0.081
UBC_80            -0.179  0.113
UBC_82            -0.261  0.116
UBC_83            -0.147  0.095
UBC_85            -0.181  0.113
UBC_91             0.347  0.129
UBC_96             0.187  0.068
UBC_97            -0.019  0.099
UFMG_1             0.003  0.085
UFMG_16            0.138  0.092
UFMG_2             0.092  0.070
UFMG_22            0.259  0.090
UFMG_24            0.060  0.091
UFMG_29            0.082  0.082
UFMG_3             0.194  0.119
UFMG_30            0.089  0.134
UFMG_34            0.034  0.125
UFMG_38            0.422  0.098
UFMG_39            0.014  0.095
UFMG_41            0.194  0.119
UFMG_44            0.275  0.265
UFMG_45            0.417  0.142
UFMG_47            0.344  0.119
UFMG_48           -0.010  0.160
UFMG_53            0.165  0.160
UFMG_55           -0.065  0.055
UFMG_58           -0.094  0.144
UFMG_59           -0.084  0.155
UFMG_60            0.057  0.120
UPK_108           -0.008  0.076
UPK_113            0.030  0.073
UPK_119            0.046  0.164
UPK_12             0.017  0.047
UPK_13             0.205  0.086
UPK_131            0.011  0.162
UPK_136           -0.075  0.063
UPK_137            0.006  0.113
UPK_150           -0.097  0.128
UPK_152           -0.028  0.178
UPK_155            0.010  0.091
UPK_16             0.023  0.089
UPK_166           -0.001  0.050
UPK_167           -0.065  0.066
UPK_168            0.058  0.061
UPK_169           -0.024  0.287
UPK_17             0.073  0.141
UPK_178            0.019  0.157
UPK_18             0.032  0.079
UPK_180           -0.108  0.089
UPK_185            0.117  0.131
UPK_194            0.097  0.183
UPK_20             0.191  0.198
UPK_21             0.141  0.265
UPK_219            0.008  0.196
UPK_220            0.029  0.129
UPK_23             0.251  0.141
UPK_230           -0.033  0.149
UPK_24            -0.007  0.087
UPK_25             0.017  0.152
UPK_26             0.078  0.102
UPK_265           -0.116  0.150
UPK_27             0.026  0.159
UPK_28             0.351  0.106
UPK_282           -0.101  0.150
UPK_29             0.004  0.167
UPK_294            0.171  0.204
UPK_296           -0.096  0.042
UPK_305           -0.018  0.060
UPK_31             0.006  0.078
UPK_312            0.160  0.197
UPK_33             0.042  0.240
UPK_333            0.051  0.181
UPK_350           -0.121  0.068
UPK_379           -0.153  0.142
UPK_38            -0.025  0.172
UPK_381            0.100  0.080
UPK_385           -0.116  0.100
UPK_394           -0.012  0.084
UPK_398            0.007  0.087
UPK_4              0.035  0.197
UPK_40             0.093  0.053
UPK_418           -0.220  0.059
UPK_42            -0.036  0.095
UPK_422            0.061  0.057
UPK_429           -0.020  0.115
UPK_431           -0.073  0.086
UPK_433            0.041  0.074
UPK_436            0.049  0.090
UPK_442           -0.152  0.110
UPK_445           -0.109  0.048
UPK_45            -0.030  0.129
UPK_452           -0.073  0.230
UPK_457            0.064  0.167
UPK_46             0.069  0.106
UPK_467           -0.083  0.108
UPK_468           -0.165  0.075
UPK_470            0.040  0.024
UPK_495           -0.223  0.116
UPK_5              0.024  0.055
UPK_50             0.050  0.174
UPK_502            0.158  0.092
UPK_508            0.244  0.074
UPK_51            -0.032  0.061
UPK_524           -0.091  0.090
UPK_526           -0.030  0.052
UPK_528           -0.043  0.115
UPK_53             0.119  0.077
UPK_533           -0.109  0.106
UPK_535           -0.029  0.044
UPK_537            0.082  0.094
UPK_54             0.321  0.079
UPK_540           -0.008  0.070
UPK_542           -0.050  0.135
UPK_545            0.121  0.082
UPK_549            0.123  0.072
UPK_55             0.042  0.114
UPK_552           -0.040  0.056
UPK_560           -0.112  0.096
UPK_562           -0.032  0.087
UPK_567           -0.015  0.116
UPK_578            0.145  0.215
UPK_579           -0.006  0.101
UPK_585           -0.075  0.041
UPK_587            0.125  0.083
UPK_594            0.113  0.115
UPK_599            0.137  0.060
UPK_604           -0.209  0.314
UPK_605           -0.133  0.083
UPK_606           -0.052  0.175
UPK_612           -0.076  0.097
UPK_613           -0.034  0.137
UPK_614            0.036  0.108
UPK_617            0.033  0.089
UPK_62             0.021  0.254
UPK_621            0.150  0.134
UPK_624            0.206  0.102
UPK_626           -0.084  0.098
UPK_627           -0.074  0.153
UPK_629            0.007  0.136
UPK_630            0.192  0.029
UPK_640            0.149  0.102
UPK_642            0.210  0.124
UPK_644           -0.028  0.134
UPK_645           -0.007  0.064
UPK_65             0.123  0.063
UPK_654           -0.047  0.035
UPK_66            -0.012  0.087
UPK_7              0.084  0.143
UPK_79             0.056  0.148
UPK_80             0.215  0.224
UPK_82             0.034  0.036
UPK_84            -0.059  0.081
UPK_90             0.076  0.092
UPK_93            -0.094  0.164
UPK_94             0.109  0.126
UPK_99            -0.100  0.074
Waterloo_1        -0.254  0.058
Waterloo_7        -0.107  0.100
vdBergh_1          0.318  0.179
vdBergh_130       -0.029  0.163
vdBergh_80        -0.148  0.091
vdBergh_85        -0.055  0.124
vdBergh_92         0.025  0.087
