Cluster           [Fe/H]  e_[Fe/H]
COIN-Gaia_21       0.003  0.113
COIN-Gaia_22      -0.062  0.093
COIN-Gaia_23      -0.009  0.059
COIN-Gaia_24       0.007  0.072
COIN-Gaia_25       0.012  0.104
COIN-Gaia_26      -0.017  0.104
COIN-Gaia_27      -0.215  0.102
COIN-Gaia_28      -0.047  0.032
COIN-Gaia_3        0.082  0.169
COIN-Gaia_30       0.008  0.128
COIN-Gaia_32      -0.026  0.161
COIN-Gaia_34      -0.084  0.150
COIN-Gaia_35      -0.140  0.174
COIN-Gaia_37       0.063  0.150
COIN-Gaia_38       0.245  0.173
COIN-Gaia_39      -0.131  0.161
COIN-Gaia_4       -0.104  0.103
COIN-Gaia_40      -0.133  0.102
COIN-Gaia_41      -0.069  0.222
COIN-Gaia_5       -0.167  0.073
COIN-Gaia_6       -0.129  0.090
COIN-Gaia_7        0.100  0.090
COIN-Gaia_8       -0.018  0.095
COIN-Gaia_9        0.053  0.074
Collinder_104     -0.104  0.082
Collinder_106     -0.062  0.117
Collinder_107     -0.100  0.163
Collinder_110      0.023  0.016
Collinder_115     -0.104  0.076
Collinder_132      0.037  0.046
Collinder_135      0.111  0.058
Collinder_140      0.011  0.045
Collinder_185      0.103  0.120
Collinder_197      0.065  0.198
Collinder_205     -0.169  0.165
Collinder_220     -0.016  0.105
Collinder_258      0.150  0.074
Collinder_261      0.019  0.024
Collinder_268      0.075  0.115
Collinder_269      0.205  0.064
Collinder_271      0.168  0.112
Collinder_272     -0.049  0.143
Collinder_277     -0.027  0.071
Collinder_292      0.093  0.120
Collinder_307      0.203  0.091
Collinder_338      0.069  0.108
Collinder_350     -0.013  0.098
Collinder_359      0.186  0.053
Collinder_394      0.152  0.072
Collinder_419      0.091  0.147
Collinder_421     -0.063  0.086
Collinder_463      0.195  0.049
Collinder_469      0.270  0.146
Collinder_69      -0.010  0.008
Collinder_74      -0.083  0.084
Collinder_95      -0.043  0.015
Czernik_1         -0.087  0.055
Czernik_12        -0.129  0.061
Czernik_13        -0.179  0.104
Czernik_14         0.000  0.090
Czernik_15        -0.067  0.132
Czernik_16        -0.057  0.066
Czernik_19        -0.160  0.102
Czernik_2         -0.036  0.096
Czernik_20        -0.113  0.029
Czernik_21        -0.239  0.016
Czernik_23        -0.132  0.167
Czernik_24        -0.297  0.079
Czernik_25        -0.020  0.080
Czernik_27        -0.281  0.071
Czernik_3         -0.100  0.303
Czernik_30        -0.282  0.016
Czernik_31        -0.110  0.062
Czernik_32        -0.096  0.076
Czernik_37         0.483  0.251
Czernik_38         0.186  0.057
Czernik_39         0.257  0.235
Czernik_41         0.002  0.108
Czernik_42        -0.171  0.083
Czernik_43        -0.023  0.057
Czernik_5         -0.174  0.133
Czernik_6         -0.020  0.127
Czernik_8         -0.028  0.172
Czernik_9         -0.076  0.097
DBSB_3            -0.200  0.178
DBSB_43            0.247  0.195
DBSB_7            -0.051  0.192
DC_3              -0.146  0.049
Dias_1            -0.194  0.107
Dias_2            -0.242  0.122
Dias_5             0.224  0.112
Dias_6             0.174  0.105
Dolidze_1          0.054  0.094
Dolidze_16        -0.092  0.154
Dolidze_3         -0.120  0.184
Dolidze_32         0.035  0.122
Dolidze_35         0.204  0.100
Dolidze_5         -0.033  0.391
Dolidze_53         0.053  0.184
Dolidze_8          0.372  0.104
ESO_123_26         0.065  0.118
ESO_130_06         0.057  0.082
ESO_130_08         0.044  0.116
ESO_130_13         0.024  0.081
ESO_134_12         0.072  0.072
ESO_166_04         0.045  0.165
ESO_211_03        -0.077  0.074
ESO_226_06         0.523  0.168
ESO_312_04        -0.123  0.340
ESO_332_08         0.230  0.112
ESO_332_13         0.168  0.104
ESO_368_11         0.016  0.076
ESO_368_14        -0.100  0.240
ESO_371_25        -0.169  0.105
ESO_392_13         0.074  0.108
ESO_429_02        -0.120  0.124
ESO_518_03         0.505  0.075
ESO_559_13         0.010  0.145
ESO_589_26         0.386  0.107
FSR_0123           0.273  0.084
FSR_0154           0.402  0.069
FSR_0158           0.021  0.227
FSR_0165           0.113  0.104
FSR_0198           0.209  0.173
FSR_0224           0.242  0.220
FSR_0236           0.091  0.130
FSR_0241          -0.045  0.139
FSR_0275          -0.097  0.095
FSR_0278          -0.125  0.164
FSR_0282           0.165  0.131
FSR_0284           0.002  0.137
FSR_0296          -0.039  0.153
FSR_0306           0.180  0.335
FSR_0336           0.038  0.317
FSR_0342          -0.109  0.129
FSR_0357          -0.155  0.077
FSR_0377          -0.065  0.091
FSR_0384           0.003  0.064
FSR_0385          -0.004  0.084
FSR_0398           0.288  0.064
FSR_0401           0.089  0.231
FSR_0430          -0.126  0.044
